id,name,address,lat,lng,price,site_url,ev_type,charger_count,output,max_current,category,charging_fee,parking_fee,contact,reservation,manufacturer,auth,notes,image_url,affiliate_url,lat_lng,source
11,PAI BASE RESORT,沖縄県宮古島市平良字狩俣3433-6,24.8664831,125.2842051,"6,546円〜（消費税込7,200円〜）",https://paibase.com/,普通,1台,3kW,15A,コンセントのみ,無料,無料,必要,不可,Panasonic,,【利用案内】緊急時のみ対応・電話連絡またはホテルのフロントで申込み下さい /,https://img.travel.rakuten.co.jp/image/imgr_90?no=128512,https://travel.rakuten.co.jp/HOTEL/128512/128512.html,"24.8664831,125.2842051",https://ev.gogo.gs/detail/1q4k514j
12,島んちゅゲストハウス結縁,沖縄県南城市玉城字堀川570-1,26.131948,127.7618716,,http://yuien.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【駐車料金】1回/1,000円 (フロントにてお支払いください)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"26.131948,127.7618716",https://ev.gogo.gs/detail/28uos5m7
13,サザンビーチホテル＆リゾート沖縄 (Terra)  /  糸満ホスピタリティ(株),沖縄県糸満市西崎町1-6-1,26.1320753,127.6529853,"5,091円〜（消費税込5,600円〜）",https://www.southernbeach-okinawa.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【駐車料金】1泊/550円 基本30分/110円・施設利用で料金サービスあり
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=76401,https://travel.rakuten.co.jp/HOTEL/76401/76401.html,"26.1320753,127.6529853",https://ev.gogo.gs/detail/279g4qux
14,サザンビーチホテル＆リゾート沖縄  /  糸満ホスピタリティ(株),沖縄県糸満市西崎町1-6-1,26.1320753,127.6529853,"5,091円〜（消費税込5,600円〜）",https://www.southernbeach-okinawa.com/,普通,8台,3kW,15A,ポール型コンセント,有料,条件付無料,必要,不可,Panasonic,,"【利用案内】施設ご利用のお客様のみ・フロントにて申込み下さい
【駐車料金】1泊/550円 30分/110円・施設利用で料金サービスあり / 【充電料金】1回/500円",https://img.travel.rakuten.co.jp/image/imgr_90?no=76401,https://travel.rakuten.co.jp/HOTEL/76401/76401.html,"26.1320753,127.6529853",https://ev.gogo.gs/detail/1pzd9nln
15,ビーチサイドペンションみーばる,沖縄県南城市玉城百名1346,26.1335247,127.7879904,-,https://www.kankou-nanjo.okinawa/stay/140/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【利用案内】宿泊利用の場合のみ15時~翌9時利用可
【駐車料金】ご宿泊の方は無料 (フロントにてお支払い下さい)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=191963,https://travel.rakuten.co.jp/HOTEL/191963/191963.html,"26.1335247,127.7879904",https://ev.gogo.gs/detail/28spqq1g
16,Terrace Rin (テラス凛),沖縄県豊見城市与根197,26.1669209,127.6575002,"4,108円〜（消費税込4,518円〜）",https://terracerin.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=169642,https://travel.rakuten.co.jp/HOTEL/169642/169642.html,"26.1669209,127.6575002",https://ev.gogo.gs/detail/269fzhgf
17,The Resorts Villa Kochibanta Okinawa,沖縄県南城市知念知念327-2,26.1698832,127.8273495,,https://www.kochibanta.com/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【利用案内】宿泊利用の場合のみ15時~翌9時利用可
【駐車料金】フロントにてお支払い下さい
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"26.1698832,127.8273495",https://ev.gogo.gs/detail/28tosxh9
18,ホテルトーマス旭橋駅,沖縄県那覇市東町8-5,26.2127408,127.6746077,,https://hotel-tomas.com/,普通,2台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",,,"26.2127408,127.6746077",https://ev.gogo.gs/detail/26aybtqd
19,ロワジールホテル那覇  /  ソラーレ ホテルズ アンド リゾーツ(株),沖縄県那覇市西3-2-1,26.213192,127.6667244,"8,404円〜（消費税込9,244円〜）",https://www.loisir-naha.com/,普通,4台,3kW,15A,ポール型コンセント,有料,有料,必要,不可,Panasonic,,"【利用案内】ホテル利用者のみ・充電ケーブルが必要です
【駐車料金】1泊/1,800円 / 【充電料金】1回/500円",https://img.travel.rakuten.co.jp/image/imgr_90?no=78094,https://travel.rakuten.co.jp/HOTEL/78094/78094.html,"26.213192,127.6667244",https://ev.gogo.gs/detail/14263
20,ルートイングランティア那覇  /  ルートインジャパン(株),沖縄県那覇市西2-25-12,26.2142436,127.667822,"5,091円〜（消費税込5,600円〜）",https://www.hotel-grantia.co.jp/naha/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】エントランス前 / 【利用案内】宿泊者優先・ご宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
【充電料金】10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=7589,https://travel.rakuten.co.jp/HOTEL/7589/7589.html,"26.2142436,127.667822",https://ev.gogo.gs/detail/25q83co6
21,ホテルトーマス前島,沖縄県那覇市前島2-15-13,26.2224057,127.6849361,,,普通,2台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",,,"26.2224057,127.6849361",https://ev.gogo.gs/detail/26aybtcu
22,ホテルトーマスとまり,沖縄県那覇市泊3-2-4,26.2259973,127.6850714,,,普通,1台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",,,"26.2259973,127.6850714",https://ev.gogo.gs/detail/269fzb3u
23,ホテルハーベスオキナワ,沖縄県浦添市宮城1-23-1,26.2505394,127.7031561,,https://hotel-haabesu-okinawa.jp/,普通,2台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",,,"26.2505394,127.7031561",https://ev.gogo.gs/detail/26ay3knn
24,トーマス牧港ヴィラ,沖縄県浦添市牧港1-62-1,26.2660998,127.7177463,"2,184円〜（消費税込2,402円〜）",https://hotel-tomas.com/,普通,2台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=180353,https://travel.rakuten.co.jp/HOTEL/180353/180353.html,"26.2660998,127.7177463",https://ev.gogo.gs/detail/26aybsbj
25,ムーンオーシャン宜野湾ホテル,沖縄県宜野湾市宇地泊3-7-12,26.2737189,127.7280058,,https://www.moonoceanginowan.jp/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。 / 【利用案内】宿泊利用の場合のみ16時~翌10時利用可
エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"26.2737189,127.7280058",https://ev.gogo.gs/detail/28spqqsb
26,ビーチサイドアネックス,沖縄県中頭郡北谷町北谷2-16-2,26.3053073,127.7599422,,,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】施設正面右手側
【駐車料金】1泊/500円 (フロントにて料金をお支払い下さい)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"26.3053073,127.7599422",https://ev.gogo.gs/detail/26cuwwzj
27,暮らしの発酵ライフスタイルリゾート  /  (株)EMウェルネスリゾート,沖縄県中頭郡北中城村喜舎場1478,26.3067846,127.7956474,"8,520円〜（消費税込9,371円〜）",https://kurashinohakko.jp/,普通,2台,3kW,15A,ポール型コンセント,無料,無料,必要,可能,その他,,"【設置位置】ホテル裏手 (第3駐車場)
【利用案内】施設利用者のみ利用可・フロントにて申込み下さい / ",https://img.travel.rakuten.co.jp/image/imgr_90?no=52431,https://travel.rakuten.co.jp/HOTEL/52431/52431.html,"26.3067846,127.7956474",https://ev.gogo.gs/detail/1qbjsbkk
28,ベッセルホテル カンパーナ沖縄  /  (株)ベッセルホテル開発,沖縄県中頭郡北谷町字美浜9-22,26.3151177,127.7540773,,https://www.vessel-hotel.jp/campana/okinawa/,普通,5台,3kW,15A,コンセントのみ,条件付無料,条件付無料,必要,不可,その他,,"【設置位置】建物下 屋内駐車場 (高さ制限あり)
【利用案内】フロントにて申込み下さい・充電ケーブルが必要です / 【充電料金】宿泊者は無料 (駐車料金を含む)",,,"26.3151177,127.7540773",https://ev.gogo.gs/detail/15101
29,オキナワグランメールリゾート  /  東京第一ホテル,沖縄県沖縄市与儀2-8-1,26.3153246,127.8110007,,https://www.okinawa-grandmer.com/,普通,2台,3kW,15A,ポール型コンセント,不明,無料,必要,不可,Panasonic,,"【利用案内】宿泊,施設利用者のみ・充電ケーブルが必要です / ",,,"26.3153246,127.8110007",https://ev.gogo.gs/detail/14277
30,リゾートホテル 久米アイランド  /  (株)久米アイランド,沖縄県島尻郡久米島町真我里411,26.3285131,126.8053998,"3,600円〜（消費税込3,960円〜）",https://www.kumeisland.com/,普通,1台,3kW,15A,コンセントのみ,不明,無料,必要,不可,不明,,【利用案内】施設利用者のみ利用可・フロントにて申込み下さい /,https://img.travel.rakuten.co.jp/image/imgr_90?no=31362,https://travel.rakuten.co.jp/HOTEL/31362/31362.html,"26.3285131,126.8053998",https://ev.gogo.gs/detail/1rclep6r
31,BLUE STEAK WONDER 沖縄北谷,沖縄県中頭郡北谷町浜川117-26,26.3294439,127.7475887,"6,955円〜（消費税込7,650円〜）",https://www.bluesteakwonder.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,日東工業,Terra Charge,"※施設の都合で充電器がご利用頂けない可能性がございます。
【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応・スタッフ対応時間は9時~21時半まで
【駐車料金】1部屋につき1台まで無料
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=181512,https://travel.rakuten.co.jp/HOTEL/181512/181512.html,"26.3294439,127.7475887",https://ev.gogo.gs/detail/27bqem7i
32,タイガーハウス,沖縄県中頭郡北谷町宮城2-161,26.3301698,127.7459177,,https://airbnb.invest-okinawa.com/tigerhouse.html,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",,,"26.3301698,127.7459177",https://ev.gogo.gs/detail/28yjmovz
33,レフ沖縄アリーナ by ベッセルホテルズ,沖縄県沖縄市諸見里1766,26.3345901,127.7866259,,https://www.vessel-hotel.jp/ref/okinawa/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"26.3345901,127.7866259",https://ev.gogo.gs/detail/28qom492
34,イーフビーチホテル  /  コートホテル(株),沖縄県島尻郡久米島町謝名堂548,26.3349594,126.8105072,"3,546円〜（消費税込3,900円〜）",https://www.courthotels.co.jp/kumejima/,普通,2台,3kW,15A,コンセントのみ,不明,無料,不要,不可,Panasonic,,,https://img.travel.rakuten.co.jp/image/imgr_90?no=130688,https://travel.rakuten.co.jp/HOTEL/130688/130688.html,"26.3349594,126.8105072",https://ev.gogo.gs/detail/1tx4fomy
